,zip,primary_city,acceptable_cities,unacceptable_cities
895,02801,Adamsville,,Little Compton
896,02802,Albion,,Lincoln
897,02804,Ashaway,,Hopkinton
898,02806,Barrington,,
899,02807,Block Island,New Shoreham,
900,02808,Bradford,,"Hopkinton, Westerly"
901,02809,Bristol,,
902,02812,Carolina,Richmond,
903,02813,Charlestown,,
904,02814,Chepachet,,Glocester
905,02815,Clayville,,Scituate
906,02816,Coventry,,
907,02817,West Greenwich,W Greenwich,
908,02818,East Greenwich,E Greenwich,Warwick
909,02822,Exeter,Escoheag,
910,02823,Fiskeville,,Cranston
911,02824,Forestdale,,
912,02825,Foster,,Scituate
913,02826,Glendale,,Burrillville
914,02827,Greene,Coventry,
915,02828,Greenville,,Smithfield
916,02829,Harmony,,Glocester
917,02830,Harrisville,Burrillville,
918,02831,Hope,,Scituate
919,02832,Hope Valley,Richmond,Hopkinton
920,02833,Hopkinton,,
921,02835,Jamestown,,
922,02836,Kenyon,Richmond,Charlestown
923,02837,Little Compton,L Compton,Adamsville
924,02838,Manville,,Lincoln
925,02839,Mapleville,,Burrillville
926,02840,Newport,,Middletown
927,02841,Newport,,Netc
928,02842,Middletown,,
929,02852,North Kingstown,N Kingstown,"Davisville, Wickford"
930,02854,North Kingstown,N Kingstown,
931,02857,North Scituate,"N Scituate, Scituate",Glocester
932,02858,Oakland,,Burrillville
933,02859,Pascoag,,Glocester
934,02860,Pawtucket,,
935,02861,Pawtucket,,Darlington
936,02862,Pawtucket,,
937,02863,Central Falls,,
938,02864,Cumberland,,
939,02865,Lincoln,,
940,02871,Portsmouth,,
941,02872,Prudence Island,Prudence Isl,Portsmouth
942,02873,Rockville,,Hopkinton
943,02874,Saunderstown,,"Narragansett, North Kingstown"
944,02875,Shannock,Richmond,
945,02876,Slatersville,,
946,02877,Slocum,,
947,02878,Tiverton,,
948,02879,Wakefield,"Narragansett, Peace Dale, S Kingstown, South Kingstown","East Matunuck, Green Hill, Jerusalem, Matunuck"
949,02880,Wakefield,,
950,02881,Kingston,,Wakefield
951,02882,Narragansett,Point Judith,"Bonnet Shores, Galilee"
952,02883,Peace Dale,"S Kingstown, South Kingstown",Wakefield
953,02885,Warren,,
954,02886,Warwick,,
955,02887,Warwick,,
956,02888,Warwick,,
957,02889,Warwick,,Conimicut
958,02891,Westerly,,"Misquamicut, Watch Hill"
959,02892,West Kingston,Richmond,South Kingstown
960,02893,West Warwick,,W Warwick
961,02894,Wood River Junction,Wood River Jt,
962,02895,Woonsocket,,
963,02896,North Smithfield,N Smithfield,
964,02898,Wyoming,Richmond,
965,02901,Providence,,
966,02902,Providence,,Providence Journal
967,02903,Providence,,
968,02904,Providence,"N Providence, North Providence",No Providence
969,02905,Providence,Cranston,
970,02906,Providence,,
971,02907,Providence,Cranston,
972,02908,Providence,"N Providence, North Providence",
973,02909,Providence,,
974,02910,Cranston,Providence,
975,02911,North Providence,"N Providence, Providence","Centerdale, Centredale, Centredale Finance Branch, No Providence"
976,02912,Providence,Brown Station,Brown University
977,02914,East Providence,E Providence,
978,02915,Riverside,,East Providence
979,02916,Rumford,,East Providence
980,02917,Smithfield,,Esmond
981,02918,Providence,Friar Station,Providence College
982,02919,Johnston,Providence,
983,02920,Cranston,,
984,02921,Cranston,,
985,02940,Providence,,
